Date,Value (millions)
2015-01-07,156704
2015-01-14,148202
2015-01-21,136942
2015-01-28,135542
2015-02-04,149153
2015-02-11,135188
2015-02-18,104465
2015-02-25,220845
2015-03-04,284961
2015-03-11,117348
2015-03-18,148713
2015-03-25,126843
2015-04-01,112914
2015-04-08,121211
2015-04-15,112234
2015-04-22,97576
2015-04-29,143291
2015-05-06,166411
2015-05-13,206786
2015-05-20,193217
2015-05-27,139715
2015-06-03,143046
2015-06-10,156384
2015-06-17,146845
2015-06-24,125978
2015-07-01,126526
2015-07-08,134228
2015-07-15,120442
2015-07-22,130248
2015-07-29,111449
2015-08-05,139338
2015-08-12,128298
2015-08-19,154231
2015-08-26,165653
2015-09-02,160370
2015-09-09,120553
2015-09-16,121407
2015-09-23,146264
2015-09-30,162098
2015-10-07,168392
2015-10-14,165997
2015-10-21,176400
2015-10-28,180312
2015-11-04,172463
2015-11-11,228506
2015-11-18,206021
2015-11-25,195475
2015-12-02,153657
2015-12-09,245926
2015-12-16,380497
2015-12-23,266940
2015-12-30,392288
2016-01-06,247202
2016-01-13,163887
2016-01-20,166989
2016-01-27,187663
2016-02-03,174177
2016-02-10,177232
2016-02-17,183470
2016-02-24,144604
2016-03-02,257524
2016-03-09,889974
2016-03-16,873156
2016-03-23,174053
2016-03-30,203163
2016-04-06,199166
2016-04-13,267755
2016-04-20,149984
2016-04-27,146546
2016-05-04,169260
2016-05-11,197028
2016-05-18,172119
2016-05-25,195000
2016-06-01,214169
2016-06-08,200487
2016-06-15,170335
2016-06-22,194069
2016-06-29,200328
2016-07-06,268284
2016-07-13,243581
2016-07-20,292470
2016-07-27,345579
2016-08-03,229218
2016-08-10,193126
2016-08-17,192020
2016-08-24,158322
2016-08-31,251739
2016-09-07,385545
2016-09-14,685190
2016-09-21,217513
2016-09-28,297839
2016-10-05,262463
2016-10-12,313660
2016-10-19,527428
2016-10-26,257509
2016-11-02,226421
2016-11-09,204372
2016-11-16,308225
2016-11-23,501317
2016-11-30,337207
2016-12-07,362657
2016-12-14,832443
2016-12-21,250966
2016-12-28,332321
2017-01-04,263280
2017-01-11,181232
2017-01-18,186787
2017-01-25,185951
2017-02-01,168427
2017-02-08,168827
2017-02-15,159269
2017-02-22,171046
2017-03-01,221068
2017-03-08,236937
2017-03-15,266824
2017-03-22,226106
2017-03-29,213714
2017-04-05,203415
2017-04-12,223492
2017-04-19,182796
2017-04-26,163903
2017-05-03,234515
2017-05-10,219370
2017-05-17,195341
2017-05-24,188271
2017-05-31,314224
2017-06-07,216784
2017-06-14,204742
2017-06-21,221543
2017-06-28,268035
2017-07-05,277351
2017-07-12,244869
2017-07-19,251437
2017-07-26,250424
2017-08-02,269318
2017-08-09,218836
2017-08-16,240237
2017-08-23,220050
2017-08-30,242948
2017-09-06,435450
2017-09-13,325043
2017-09-20,359391
2017-09-27,268715
2017-10-04,215857
2017-10-11,266539
2017-10-18,252375
2017-10-25,295520
2017-11-01,252850
2017-11-08,207927
2017-11-15,247578
2017-11-22,402775
2017-11-29,599392
2017-12-06,523461
2017-12-13,832223
2017-12-20,374124
2017-12-27,221198
2018-01-03,225268
2018-01-10,291517
2018-01-17,501255
2018-01-24,198578
2018-01-31,237838
2018-02-07,253017
2018-02-14,494966
2018-02-21,292859
2018-02-28,214102
2018-03-07,231548
2018-03-14,316679
2018-03-21,215197
2018-03-28,233171
2018-04-04,191565
2018-04-11,167808
2018-04-18,143276
2018-04-25,141452
2018-05-02,177429
2018-05-09,159902
2018-05-16,170198
2018-05-23,140162
2018-05-30,167414
2018-06-06,172819
2018-06-13,150864
2018-06-20,192985
2018-06-27,151350
2018-07-04,153703
2018-07-11,143060
2018-07-18,130346
2018-07-25,140276
2018-08-01,158018
2018-08-08,138837
2018-08-15,163290
2018-08-22,160304
2018-08-29,157942
2018-09-05,145112
2018-09-12,164996
2018-09-19,149522
2018-09-26,135765
2018-10-03,147897
2018-10-10,174351
2018-10-17,142590
2018-10-24,133908
2018-10-31,134343
2018-11-07,148419
2018-11-14,120294
2018-11-21,152966
2018-11-28,145239
2018-12-05,143422
2018-12-12,165030
2018-12-19,176183
2018-12-26,144965
2019-01-02,151222
2019-01-09,156497
2019-01-16,145079
2019-01-23,144194
2019-01-30,106933
2019-02-06,147567
2019-02-13,132654
2019-02-20,145833
2019-02-27,177958
2019-03-06,272840
2019-03-13,289220
2019-03-20,166109
2019-03-27,154218
2019-04-03,176607
2019-04-10,156156
2019-04-17,157777
2019-04-24,134374
2019-05-01,163531
2019-05-08,138095
2019-05-15,157129
2019-05-22,161948
2019-05-29,240459
2019-06-05,265262
2019-06-12,305658
2019-06-19,273770
2019-06-26,228956
2019-07-03,200784
2019-07-10,228935
2019-07-17,221569
2019-07-24,161415
2019-07-31,183341
2019-08-07,229764
2019-08-14,281516
2019-08-21,241832
2019-08-28,177797
2019-09-04,366109
2019-09-11,243259
2019-09-18,241082
2019-09-25,224313
2019-10-02,218469
2019-10-09,152301
2019-10-16,140621
2019-10-23,171678
2019-10-30,143984
2019-11-06,155871
2019-11-13,158670
2019-11-20,194849
2019-11-27,212476
2019-12-04,273539
2019-12-11,143153
2019-12-18,169533
2019-12-25,123180
2020-01-01,133741
2020-01-08,121777
2020-01-15,156722
2020-01-22,130736
2020-01-29,144534
2020-02-05,201016
2020-02-12,130176
2020-02-19,171490
2020-02-26,139951
2020-03-04,228098
2020-03-11,406988
2020-03-18,566148
2020-03-25,463969
2020-04-01,467951
2020-04-08,391235
2020-04-15,295843
2020-04-22,261345
2020-04-29,233892
2020-05-06,256202
2020-05-13,212595
2020-05-20,181543
2020-05-27,175185
2020-06-03,147252
2020-06-10,180184
2020-06-17,284404
2020-06-24,176292
2020-07-01,139473
2020-07-08,142819
2020-07-15,141160
2020-07-22,169829
2020-07-29,151529
2020-08-05,136424
2020-08-12,162482
2020-08-19,142719
2020-08-26,119329
2020-09-02,146842
2020-09-09,150979
2020-09-16,123921
2020-09-23,135567
2020-09-30,142154
2020-10-07,144865
2020-10-14,105647
2020-10-21,140940
2020-10-28,131141
2020-11-04,180520
2020-11-11,150127
2020-11-18,170250
2020-11-25,159193
2020-12-02,137040
2020-12-09,143004
2020-12-16,131573
2020-12-23,138001
2020-12-30,88004
2021-01-06,93009
2021-01-13,120160
2021-01-20,134848
2021-01-27,186924
2021-02-03,169194
2021-02-10,149854
2021-02-17,120256
2021-02-24,138184
2021-03-03,211357
2021-03-10,212779
2021-03-17,198638
2021-03-24,168336
2021-03-31,147837
2021-04-07,125584
2021-04-14,179484
2021-04-21,144868
2021-04-28,135802
2021-05-05,149626
2021-05-12,145929
2021-05-19,144553
2021-05-26,175025
2021-06-02,197352
2021-06-09,176365
2021-06-16,160093
2021-06-23,196694
2021-06-30,143621
2021-07-07,149180
2021-07-14,143269
2021-07-21,126405
2021-07-28,121223
2021-08-04,145006
2021-08-11,148575
2021-08-18,141050
2021-08-25,128655
2021-09-01,148042
2021-09-08,135550
2021-09-15,140877
2021-09-22,153032
2021-09-29,171846
2021-10-06,203671
2021-10-13,224984
2021-10-20,259645
2021-10-27,213661
2021-11-03,236289
2021-11-10,227244
2021-11-17,199693
2021-11-24,224444
2021-12-01,209145
2021-12-08,214622
2021-12-15,224202
2021-12-22,222637
