Record Date,All Marketable Debt
2008-01-31,4046873.461
2008-02-29,4175589.9200000004
2008-03-31,4244304.745
2008-04-30,4138290.3672
2008-05-31,4176889.0799000002
2008-06-30,4184957.2537000002
2008-07-31,4291596.796800001
2008-08-31,4366504.9608
2008-09-30,4697438.8592
2008-10-31,5179210.3537
2008-11-30,5273227.9087
2008-12-31,5253513.799
2009-01-31,5219212.9533
2009-02-28,5486881.4253
2009-03-31,5739001.1424
2009-04-30,5819533.1875
2009-05-31,5909250.1705
2009-06-30,6067863.293699999
2009-07-31,6222811.5498
2009-08-31,6374905.65875
2009-09-30,6446075.1521499995
2009-10-31,6368618.11155
2009-11-30,6595137.19215
2009-12-31,6692519.66845
2010-01-31,6650358.47805
2010-02-28,6823024.90565
2010-03-31,7171920.9547500005
2010-04-30,7328149.93035
2010-05-31,7383250.354850001
2010-06-30,7527707.311250001
2010-07-31,7591702.36835
2010-08-31,7810585.7855
2010-09-30,7894246.099849999
2010-10-31,7927826.74185
2010-11-30,8122694.7756
2010-12-31,8236916.068
2011-01-31,8338652.433300001
2011-02-28,8411632.3095
2011-03-31,8481661.2464
2011-04-30,8490901.8637
2011-05-31,8598173.4038
2011-06-30,8660683.4221
2011-07-31,8687684.441750001
2011-08-31,8819597.86235
2011-09-30,8910411.59505
2011-10-31,9022907.64525
2011-11-30,9142072.54235
2011-12-31,9189685.35435
2012-01-31,9314796.54725
2012-02-29,9460816.47355
2012-03-31,9560807.638750002
2012-04-30,9622027.93315
2012-05-31,9689182.76985
2012-06-30,9715453.3918
2012-07-31,9817314.84115
2012-08-31,9953966.074949998
2012-09-30,9934881.211550001
2012-10-31,10061340.41685
2012-11-30,10189896.19055
2012-12-31,10196247.21185
2013-01-31,10247274.18735
2013-02-28,10433572.56135
2013-03-31,10508101.293949999
2013-04-30,10518079.985550001
2013-05-31,10483029.6805
2013-06-30,10475829.2839
2013-07-31,10573199.7643
2013-08-31,10657647.4097
2013-09-30,10654080.8321
2013-10-31,10735395.1039
2013-11-30,10817894.154399991
2013-12-31,10881838.33409999
2014-01-31,10836223.01259999
2014-02-28,11000458.96999999
2014-03-31,11095013.71234999
2014-04-30,10956284.37364999
2014-05-31,10955984.73044999
2014-06-30,10969422.456649989
2014-07-31,11038467.871249989
2014-08-31,11089776.09844999
2014-09-30,11112883.082249992
2014-10-31,11160807.58324999
2014-11-30,11192950.48984999
2014-12-31,11263237.010149991
2015-01-31,11241966.71184999
2015-02-28,11297651.35694999
2015-03-31,11349979.435649991
2015-04-30,11337604.09665
2015-05-31,11348600.777
2015-06-30,11350378.047899999
2015-07-31,11438141.299700001
2015-08-31,11438039.7126
2015-09-30,11418959.082349999
2015-10-31,11359960.15175
2015-11-30,11640362.05525
2015-12-31,11695590.37955
2016-01-31,11685560.01395
2016-02-29,11816427.755349997
2016-03-31,11921698.87645
2016-04-30,11855057.128849989
2016-05-31,11883834.10575
2016-06-30,11898746.190200001
2016-07-31,11968375.96239999
2016-08-31,12065686.9382
2016-09-30,12103463.5737
2016-10-31,12231682.1856
2016-11-30,12354998.69309999
2016-12-31,12325982.176499998
2017-01-31,12302125.2107
2017-02-28,12315996.25039999
2017-03-31,12349731.5553
2017-04-30,12361197.512899999
2017-05-31,12390715.146799998
2017-06-30,12395161.977300001
2017-07-31,12471426.7616
2017-08-31,12476132.313199999
2017-09-30,12559139.737399988
2017-10-31,12649765.2632
2017-11-30,12782179.5502
2017-12-31,12798200.3016
2018-01-31,12861044.279699989
2018-02-28,13001474.6635
2018-03-31,13250476.0598
2018-04-30,13193180.4099
2018-05-31,13250534.140299998
2018-06-30,13268531.6183
2018-07-31,13393244.814000001
2018-08-31,13574126.1433
2018-09-30,13522138.4945
2018-10-31,13619033.846299998
2018-11-30,13788054.9022
2018-12-31,13811561.216
2019-01-31,13845430.3234
2019-02-28,13973312.82269999
2019-03-31,14111304.641399998
2019-04-30,14108383.37259999
2019-05-31,14128812.40019999
2019-06-30,14079824.15175
2019-07-31,14138727.621649992
2019-08-31,14291404.498850001
2019-09-30,14458806.67984999
2019-10-31,14626085.451849999
2019-11-30,14708615.31285
2019-12-31,14725152.055149991
2020-01-31,14798595.561449999
2020-02-29,14972400.177250002
2020-03-31,15179493.97365
2020-04-30,16612113.02165
2020-05-31,17279297.50725
2020-06-30,17927451.691349998
2020-07-31,18079529.10695
2020-08-31,18225288.70185
2020-09-30,18366164.099349998
2020-10-31,18411677.3244
2020-11-30,18649418.6721
2020-12-31,18895356.952299997
2021-01-31,18993417.418899998
2021-02-28,19090977.18095
2021-03-31,19272570.047849998
2021-04-30,19385936.806649998
2021-05-31,19301271.71695
2021-06-30,19561372.110250004
2021-07-31,19535032.04775
2021-08-31,19744135.36865
2021-09-30,19640615.15705
2021-10-31,19871630.73425
2021-11-30,20074182.912049998
