Date,GS
09/30/21,1045005
06/30/21,1010547
03/31/21,901870
12/31/20,864494
09/30/20,745992
06/30/20,723248
03/31/20,689662
12/31/19,661490
09/30/19,697037
06/30/19,711068
03/31/19,686033
12/31/18,681516
09/30/18,734780
06/30/18,731248
03/31/18,762556
12/31/17,763984
09/30/17,720263
06/30/17,680833
03/31/17,661415
12/31/16,634609
09/30/16,623720
06/30/16,674652
03/31/16,674270
12/31/15,636684
09/30/15,659010
06/30/15,665251
03/31/15,628522
12/31/14,630046
09/30/14,602599
06/30/14,588135
03/31/14,638169
12/31/13,608390
09/30/13,637102
06/30/13,613180
03/31/13,614337
12/31/12,540949
09/30/12,573711
06/30/12,596775
03/31/12,606896
12/31/11,622926
09/30/11,633667
06/30/11,639691
03/31/11,622855
12/31/10,618423
09/30/10,609140
06/30/10,590150
03/31/10,615830
12/31/09,561770
09/30/09,599700
06/30/09,596340
03/31/09,609870
12/31/08,642980
09/30/08,578720
06/30/08,831850
03/31/08,868190
